tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037213201,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2769,3589230.659,8182.676888
06037213202,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2770,3637201.032,8141.435081
06037213310,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2771,3346140.252,7793.971041
06037213320,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2772,3380926.981,7845.38107
06037213401,District 2,Los Angeles - Pico-Union,SPA 4 - Metro,2773,2108256.961,6326.463376
06037213402,District 2,Los Angeles - Pico-Union,SPA 4 - Metro,2774,4220536.427,8304.775772
06037214000,District 3,Los Angeles - Melrose,SPA 4 - Metro,2775,10878898.99,13349.83203
06037214100,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2776,11954015.66,14119.43583
06037214400,District 3,Los Angeles - Melrose,SPA 4 - Metro,2777,3705387.516,7957.455978
06037214501,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,2778,8104648.127,13972.62344
06037214503,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,2779,2452371.028,6833.362906
06037214504,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,2780,1310617.075,5783.538301
06037214505,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,2781,1510257.356,6781.700024
06037214600,District 3,Los Angeles - Carthay,SPA 4 - Metro,2782,6255496.017,10110.46669
06037214700,District 3,Los Angeles - Carthay,SPA 4 - Metro,2783,6384452.137,10225.82031
06037214800,District 3,Los Angeles - Carthay,SPA 4 - Metro,2784,6204448.755,11233.31398
06037214902,District 3,Los Angeles - Carthay,SPA 4 - Metro,2785,5572430.15,9450.679172
06037214903,District 3,Los Angeles - Carthay,SPA 4 - Metro,2786,1465902.784,5280.136711
06037214904,District 3,Los Angeles - Carthay,SPA 4 - Metro,2787,1828968.399,5357.674288
06037215101,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2788,3809331.648,10263.4839
06037215102,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2789,2874435.639,7853.989229
06037216100,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2790,7258622.613,11137.22826
06037216201,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2791,4885807.69,10090.45657
06037216202,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2792,5435377.364,10155.33577
06037216301,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2793,6049546.787,11309.81632
06037216302,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,2794,7612845.067,11326.86204
06037216700,District 2,Los Angeles - Crestview,SPA 4 - Metro,2797,8359985.127,11708.38862
06037216800,District 2,Los Angeles - South Carthay,SPA 4 - Metro,2798,7970666.101,11541.43513
06037216901,District 2,Los Angeles - Mid-city,SPA 4 - Metro,2799,7529393.079,12049.57402
06037216902,District 2,Los Angeles - Mid-city,SPA 4 - Metro,2929,4207215.775,9158.065431
06037217101,District 2,Los Angeles - Mid-city,SPA 4 - Metro,2932,4274959.882,9355.779926
06037217102,District 2,Los Angeles - Mid-city,SPA 4 - Metro,2933,5389199.599,9500.850443
06037217200,District 2,Los Angeles - Mid-city,SPA 4 - Metro,2934,9910637.518,15000.92524
06037218110,District 2,Los Angeles - Victoria Park,SPA 4 - Metro,2935,6462720.51,12750.58451
06037218120,District 2,Los Angeles - Victoria Park,SPA 4 - Metro,2936,4789315.242,8883.841242
06037218210,District 2,Los Angeles - St Elmo Village,SPA 4 - Metro,2937,4174755.21,8767.262446
06037218220,District 2,Los Angeles - Lafayette Square,SPA 4 - Metro,2938,7202036.963,11673.24427
06037218300,District 2,Los Angeles - Cloverdale/Cochran,SPA 4 - Metro,2939,9721211.265,17303.9296
06037221110,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2957,2543189.478,6917.142183
06037221120,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2958,3461839.033,7508.702186
06037221210,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,2959,3886574.75,8400.448346
06037221220,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,2960,7061620.8,10517.00659
06037221302,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,2961,4979090.126,10182.99783
06037221303,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,2962,2529230.908,6479.802078
06037221304,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,2963,2439438.5,6306.027579
06037224010,District 1,Los Angeles - Downtown,SPA 4 - Metro,3109,8935641.598,13793.16181
06037224020,District 1,Los Angeles - Downtown,SPA 4 - Metro,3110,13274685.4,15194.74541
06037224200,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,3111,4048361.072,8617.785777
06037224310,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,3112,1829472.242,6639.978812
06037224320,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,3113,3148559.907,8337.933606
06037226001,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,3119,11262506.09,19000.49175
06037226002,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,3120,27454967.1,21360.59037
06037700101,District 3,City of West Hollywood,SPA 4 - Metro,3548,7248139.885,13591.47643
06037700102,District 3,City of West Hollywood,SPA 4 - Metro,3549,5302940.472,13535.34196
06037700200,District 3,City of West Hollywood,SPA 4 - Metro,3550,7381573.278,13007.77949
06037700300,District 3,City of West Hollywood,SPA 4 - Metro,3551,6449915.854,13744.73659
06037700400,District 3,City of West Hollywood,SPA 4 - Metro,3552,14273444.22,20695.86247
06037700501,District 3,City of West Hollywood,SPA 4 - Metro,3553,6428353.161,14556.38308
06037700502,District 3,City of West Hollywood,SPA 4 - Metro,3554,5454767.544,10628.07362
06037530700,District 1,Unincorporated - East Los Angeles,SPA 4 - Metro,3873,11206081.37,17515.60632
06037270300,District 2,Los Angeles - Faircrest Heights,SPA 4 - Metro,3981,10522641.7,13635.12891
06037181000,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4295,44448995.23,37014.56487
06037181300,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4296,15605643.67,19883.49368
06037181400,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4297,9425720.289,14270.34
06037181500,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4298,11760770.47,17618.24516
06037181600,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4299,13360638.2,17197.1239
06037183101,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4300,10607809.58,16423.54448
06037183103,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4301,7244202.957,19003.06015
06037183104,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4302,6726843.806,15127.03496
06037183220,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4303,5876242.414,12529.56248
06037183221,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4304,7556623.378,11919.91973
06037183222,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4305,9910024.888,16262.52674
06037183300,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4306,5867829.605,10063.00206
06037183401,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4307,5344581.567,10175.2714
06037183402,District 1,Los Angeles - Eagle Rock,SPA 4 - Metro,4308,5662655.355,10718.81764
06037183510,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4309,5247216.662,10222.89794
06037183520,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4310,4701674.387,9080.127189
06037183610,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4311,4014651.394,9658.449062
06037980009,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4427,228426493.8,78138.60174
06037980010,District 1,Los Angeles - Elysian Park,SPA 4 - Metro,4428,41576170.86,34977.57638
06037183701,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4441,5759863.952,12281.67837
06037183702,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4442,9524021.356,16581.69776
06037183810,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4443,4841193.906,10223.55753
06037183820,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4444,3348964.757,10238.05253
06037185101,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,4445,8706618.617,16955.17586
06037185102,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,4446,15935927.76,25632.9479
06037185202,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,4447,13003386.15,16277.41762
06037185203,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,4448,5849916.313,11295.92411
06037185204,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,4449,10302996.29,15511.26766
06037185310,District 1,Los Angeles - Mt. Washington,SPA 4 - Metro,4450,4461664.139,11883.46184
06037185320,District 1,Los Angeles - Elysian Valley,SPA 4 - Metro,4451,6087527.244,12706.77963
06037186100,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4452,14122828.86,20374.1402
06037186201,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4453,5351125.641,11939.78841
06037186202,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4454,4556332.902,10534.94403
06037186203,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4455,9091855.962,15362.24224
06037186301,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4456,12733089.02,17741.03288
06037186302,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4457,18285481.25,17522.48693
06037186401,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4458,10153015.2,17566.23625
06037186403,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4459,5905691.162,11856.93659
06037186404,District 1,Los Angeles - Glassell Park,SPA 4 - Metro,4460,4284252.167,8709.723834
06037187101,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,4461,8510001.009,12901.79778
06037187102,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,4462,23601872.39,38158.38678
06037187200,District 1,Los Angeles - Silverlake,SPA 4 - Metro,4463,10210252.38,15467.57802
06037187300,District 1,Los Angeles - Silverlake,SPA 4 - Metro,4464,12573329.33,19425.395
06037188100,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,4465,22650892.64,25920.7016
