geoid,FIPS,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count,pct_lowaccess,pct_lowaccess_li,pct_lowaccess_kids
1400000U,06037117510,6037117510,2019,4028,0,0,0,0,0,0,0
1400000U,06037117520,6037117520,2019,4052,0,0,0,0,0,0,0
1400000U,06037117530,6037117530,2019,5641,0,0,0,0,0,0,0
1400000U,06037119001,6037119001,2019,4038,0,0,0,0,0,0,0
1400000U,06037119003,6037119003,2019,3612,0,0,0,0,0,0,0
1400000U,06037119004,6037119004,2019,3614,0,0,0,0,0,0,0
1400000U,06037119201,6037119201,2019,4137,0,0,0,0,0,0,0
1400000U,06037119202,6037119202,2019,4707,0,0,0,0,0,0,0
1400000U,06037119310,6037119310,2019,3870,0,0,0,0,0,0,0
1400000U,06037119320,6037119320,2019,4694,0,0,0,0,0,0,0
1400000U,06037119340,6037119340,2019,3884,0,0,0,0,0,0,0
1400000U,06037119341,6037119341,2019,2719,0,0,0,0,0,0,0
1400000U,06037119342,6037119342,2019,3180,0,0,0,0,0,0,0
1400000U,06037119400,6037119400,2019,4987,0,0,0,0,0,0,0
1400000U,06037119700,6037119700,2019,5045,0,0,0,0,0,0,0
1400000U,06037119801,6037119801,2019,3011,0,0,0,0,0,0,0
1400000U,06037119802,6037119802,2019,3097,0,0,0,0,0,0,0
1400000U,06037119900,6037119900,2019,4940,0,0,0,0,0,0,0
1400000U,06037120010,6037120010,2019,2844,0,0,0,0,0,0,0
1400000U,06037120020,6037120020,2019,3917,0,0,0,0,0,0,0
1400000U,06037120030,6037120030,2019,2815,0,0,0,0,0,0,0
1400000U,06037120103,6037120103,2019,3287,0,0,0,0,0,0,0
1400000U,06037120104,6037120104,2019,2310,0,0,0,0,0,0,0
1400000U,06037120105,6037120105,2019,2812,0,0,0,0,0,0,0
1400000U,06037120106,6037120106,2019,4417,0,0,0,0,0,0,0
1400000U,06037120107,6037120107,2019,3818,0,0,0,0,0,0,0
1400000U,06037120108,6037120108,2019,4838,0,0,0,0,0,0,0
1400000U,06037120300,6037120300,2019,5531,0,0,0,0,0,0,0
1400000U,06037120400,6037120400,2019,6272,0,0,0,0,0,0,0
1400000U,06037121010,6037121010,2019,4989,0,0,0,0,0,0,0
1400000U,06037121020,6037121020,2019,3741,0,0,0,0,0,0,0
1400000U,06037121101,6037121101,2019,2932,0,0,0,0,0,0,0
1400000U,06037121102,6037121102,2019,2721,990,525,214,111,0.363836825,0.192943771,0.078647556
1400000U,06037121210,6037121210,2019,3110,1134,410,261,144,0.364630225,0.131832797,0.08392283
1400000U,06037121221,6037121221,2019,2364,0,0,0,0,0,0,0
1400000U,06037121222,6037121222,2019,5276,786,541,306,20,0.148976497,0.102539803,0.057998484
1400000U,06037121600,6037121600,2019,3005,0,0,0,0,0,0,0
1400000U,06037121801,6037121801,2019,3942,0,0,0,0,0,0,0
1400000U,06037121802,6037121802,2019,3525,0,0,0,0,0,0,0
1400000U,06037121900,6037121900,2019,4110,0,0,0,0,0,0,0
1400000U,06037122000,6037122000,2019,5431,7,2,1,1,0.001288897,0.000368256,0.000184128
1400000U,06037122120,6037122120,2019,5000,0,0,0,0,0,0,0
1400000U,06037122121,6037122121,2019,2833,0,0,0,0,0,0,0
1400000U,06037122122,6037122122,2019,2439,0,0,0,0,0,0,0
1400000U,06037122200,6037122200,2019,4141,1963,832,598,129,0.474040087,0.200917653,0.144409563
1400000U,06037122410,6037122410,2019,3794,0,0,0,0,0,0,0
1400000U,06037122420,6037122420,2019,5050,0,0,0,0,0,0,0
1400000U,06037123010,6037123010,2019,4580,0,0,0,0,0,0,0
1400000U,06037123020,6037123020,2019,3432,0,0,0,0,0,0,0
1400000U,06037123103,6037123103,2019,4164,0,0,0,0,0,0,0
1400000U,06037123104,6037123104,2019,4596,0,0,0,0,0,0,0
1400000U,06037123203,6037123203,2019,3765,0,0,0,0,0,0,0
1400000U,06037123204,6037123204,2019,3449,0,0,0,0,0,0,0
1400000U,06037123205,6037123205,2019,2645,0,0,0,0,0,0,0
1400000U,06037123206,6037123206,2019,2945,0,0,0,0,0,0,0
1400000U,06037123301,6037123301,2019,4559,0,0,0,0,0,0,0
1400000U,06037123303,6037123303,2019,3301,0,0,0,0,0,0,0
1400000U,06037123304,6037123304,2019,4687,0,0,0,0,0,0,0
1400000U,06037123410,6037123410,2019,4247,0,0,0,0,0,0,0
1400000U,06037123420,6037123420,2019,4638,0,0,0,0,0,0,0
1400000U,06037123510,6037123510,2019,4753,0,0,0,0,0,0,0
1400000U,06037123520,6037123520,2019,2567,0,0,0,0,0,0,0
1400000U,06037123601,6037123601,2019,4995,0,0,0,0,0,0,0
1400000U,06037123602,6037123602,2019,3332,0,0,0,0,0,0,0
1400000U,06037123700,6037123700,2019,4114,0,0,0,0,0,0,0
1400000U,06037123800,6037123800,2019,5531,0,0,0,0,0,0,0
1400000U,06037123901,6037123901,2019,4498,0,0,0,0,0,0,0
1400000U,06037123902,6037123902,2019,2561,0,0,0,0,0,0,0
1400000U,06037124000,6037124000,2019,4550,0,0,0,0,0,0,0
1400000U,06037124102,6037124102,2019,3549,0,0,0,0,0,0,0
1400000U,06037124103,6037124103,2019,2030,0,0,0,0,0,0,0
1400000U,06037124104,6037124104,2019,2439,0,0,0,0,0,0,0
1400000U,06037124105,6037124105,2019,2658,0,0,0,0,0,0,0
1400000U,06037124201,6037124201,2019,3506,0,0,0,0,0,0,0
1400000U,06037124203,6037124203,2019,2748,0,0,0,0,0,0,0
1400000U,06037124204,6037124204,2019,3071,0,0,0,0,0,0,0
1400000U,06037124300,6037124300,2019,4046,0,0,0,0,0,0,0
1400000U,06037124400,6037124400,2019,4192,0,0,0,0,0,0,0
1400000U,06037124500,6037124500,2019,2779,0,0,0,0,0,0,0
1400000U,06037124600,6037124600,2019,3123,0,0,0,0,0,0,0
1400000U,06037124700,6037124700,2019,4796,0,0,0,0,0,0,0
1400000U,06037124902,6037124902,2019,2766,0,0,0,0,0,0,0
1400000U,06037124903,6037124903,2019,3262,0,0,0,0,0,0,0
1400000U,06037125101,6037125101,2019,2717,0,0,0,0,0,0,0
1400000U,06037125102,6037125102,2019,2714,0,0,0,0,0,0,0
1400000U,06037125200,6037125200,2019,3524,0,0,0,0,0,0,0
1400000U,06037125310,6037125310,2019,4750,0,0,0,0,0,0,0
1400000U,06037125321,6037125321,2019,1985,0,0,0,0,0,0,0
1400000U,06037125322,6037125322,2019,2858,0,0,0,0,0,0,0
1400000U,06037125402,6037125402,2019,3672,0,0,0,0,0,0,0
1400000U,06037125403,6037125403,2019,1703,0,0,0,0,0,0,0
1400000U,06037125404,6037125404,2019,2321,0,0,0,0,0,0,0
1400000U,06037125501,6037125501,2019,3077,0,0,0,0,0,0,0
1400000U,06037125502,6037125502,2019,3083,0,0,0,0,0,0,0
1400000U,06037125600,6037125600,2019,2656,0,0,0,0,0,0,0
1400000U,06037127102,6037127102,2019,4726,0,0,0,0,0,0,0
1400000U,06037127103,6037127103,2019,2939,0,0,0,0,0,0,0
1400000U,06037127104,6037127104,2019,3573,0,0,0,0,0,0,0
1400000U,06037127210,6037127210,2019,5531,0,0,0,0,0,0,0
1400000U,06037127220,6037127220,2019,4931,0,0,0,0,0,0,0
1400000U,06037127300,6037127300,2019,4460,0,0,0,0,0,0,0
1400000U,06037127400,6037127400,2019,5808,0,0,0,0,0,0,0
1400000U,06037127520,6037127520,2019,4045,0,0,0,0,0,0,0
1400000U,06037127603,6037127603,2019,2927,0,0,0,0,0,0,0
1400000U,06037127604,6037127604,2019,2933,0,0,0,0,0,0,0
1400000U,06037127605,6037127605,2019,3549,0,0,0,0,0,0,0
1400000U,06037127606,6037127606,2019,3150,0,0,0,0,0,0,0
1400000U,06037127711,6037127711,2019,3356,0,0,0,0,0,0,0
1400000U,06037127712,6037127712,2019,2991,0,0,0,0,0,0,0
1400000U,06037127803,6037127803,2019,4037,0,0,0,0,0,0,0
1400000U,06037127804,6037127804,2019,3933,0,0,0,0,0,0,0
1400000U,06037127805,6037127805,2019,3768,0,0,0,0,0,0,0
1400000U,06037127806,6037127806,2019,3447,0,0,0,0,0,0,0
1400000U,06037127910,6037127910,2019,4769,0,0,0,0,0,0,0
1400000U,06037127920,6037127920,2019,4100,0,0,0,0,0,0,0
1400000U,06037128101,6037128101,2019,3738,0,0,0,0,0,0,0
1400000U,06037128102,6037128102,2019,4795,0,0,0,0,0,0,0
1400000U,06037128210,6037128210,2019,4822,0,0,0,0,0,0,0
1400000U,06037128220,6037128220,2019,3011,0,0,0,0,0,0,0
1400000U,06037128302,6037128302,2019,4688,0,0,0,0,0,0,0
1400000U,06037128303,6037128303,2019,3982,0,0,0,0,0,0,0
1400000U,06037128400,6037128400,2019,4114,0,0,0,0,0,0,0
1400000U,06037128500,6037128500,2019,4015,0,0,0,0,0,0,0
1400000U,06037128601,6037128601,2019,4288,0,0,0,0,0,0,0
1400000U,06037128602,6037128602,2019,3189,0,0,0,0,0,0,0
1400000U,06037128703,6037128703,2019,2811,0,0,0,0,0,0,0
1400000U,06037128704,6037128704,2019,2828,0,0,0,0,0,0,0
1400000U,06037128801,6037128801,2019,3307,0,0,0,0,0,0,0
1400000U,06037128802,6037128802,2019,4325,0,0,0,0,0,0,0
1400000U,06037128910,6037128910,2019,4075,0,0,0,0,0,0,0
1400000U,06037131021,6037131021,2019,3379,0,0,0,0,0,0,0
1400000U,06037131022,6037131022,2019,3030,0,0,0,0,0,0,0
1400000U,06037131023,6037131023,2019,2323,0,0,0,0,0,0,0
1400000U,06037131024,6037131024,2019,3375,0,0,0,0,0,0,0
1400000U,06037131100,6037131100,2019,3252,0,0,0,0,0,0,0
1400000U,06037131200,6037131200,2019,3429,0,0,0,0,0,0,0
1400000U,06037131300,6037131300,2019,4902,0,0,0,0,0,0,0
1400000U,06037131400,6037131400,2019,5897,0,0,0,0,0,0,0
1400000U,06037131600,6037131600,2019,5494,0,0,0,0,0,0,0
1400000U,06037131701,6037131701,2019,4541,0,0,0,0,0,0,0
1400000U,06037131702,6037131702,2019,3745,0,0,0,0,0,0,0
1400000U,06037131801,6037131801,2019,2665,0,0,0,0,0,0,0
1400000U,06037131802,6037131802,2019,2676,0,0,0,0,0,0,0
1400000U,06037131900,6037131900,2019,4210,0,0,0,0,0,0,0
1400000U,06037132001,6037132001,2019,3202,0,0,0,0,0,0,0
1400000U,06037132002,6037132002,2019,3299,0,0,0,0,0,0,0
1400000U,06037132101,6037132101,2019,4259,0,0,0,0,0,0,0
1400000U,06037132102,6037132102,2019,5310,0,0,0,0,0,0,0
1400000U,06037132301,6037132301,2019,3205,0,0,0,0,0,0,0
1400000U,06037132302,6037132302,2019,3289,0,0,0,0,0,0,0
1400000U,06037132501,6037132501,2019,3762,0,0,0,0,0,0,0
1400000U,06037132502,6037132502,2019,3672,0,0,0,0,0,0,0
1400000U,06037132700,6037132700,2019,4912,0,0,0,0,0,0,0
1400000U,06037132900,6037132900,2019,3461,0,0,0,0,0,0,0
1400000U,06037133000,6037133000,2019,4449,0,0,0,0,0,0,0
1400000U,06037133101,6037133101,2019,2378,0,0,0,0,0,0,0
1400000U,06037133102,6037133102,2019,3068,0,0,0,0,0,0,0
1400000U,06037134001,6037134001,2019,3765,0,0,0,0,0,0,0
1400000U,06037134002,6037134002,2019,3372,0,0,0,0,0,0,0
1400000U,06037134101,6037134101,2019,4922,0,0,0,0,0,0,0
