X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-118.26495,33.902164,1290625,USA Rosencrans,600 E Rosecrans Ave,,Los Angeles,CA,90059,3507,LOS ANGELES,Convenience Store,33.902164,-118.26495,,,75511
-118.25794,34.147671,1290864,CVS Pharmacy 10445,125 N Central Ave,,Glendale,CA,91203,    ,LOS ANGELES,Other,34.147671,-118.25794,,,75568
-118.28403,34.026608,1290870,Target 3217,3131 S Hoover St,Unit 9-A,Los Angeles,CA,90089,8500,LOS ANGELES,Other,34.026608,-118.28403,,,75574
-118.13239,34.157612,903090,Walgreens 09139,670 N Lake Ave,,Pasadena,CA,91101,1220,LOS ANGELES,Other,34.157612,-118.13239,,,75736
-118.1477,34.611542,1290386,Dollar Tree 7061,40130 10th St W,,Palmdale,CA,93551,3005,LOS ANGELES,Other,34.611542,-118.1477,,,75842
-117.84065,33.984234,1290497,DB Chevron,21324 Pathfinder Rd,,Diamond Bar,CA,91765,2700,LOS ANGELES,Convenience Store,33.984234,-117.84065,,,75926
-118.46613,34.180733,923438,Costco Wholesale 0048,6100 Sepulveda Blvd,,Van Nuys,CA,91411,2503,LOS ANGELES,Super Store,34.180733,-118.46613,,,76015
-118.79765,34.153568,923448,Costco Wholesale 0117,5700 Lindero Canyon Rd,,Westlake Village,CA,91362,4063,LOS ANGELES,Super Store,34.153568,-118.79765,,,76027
-118.26289,34.126476,923456,Costco Wholesale 0130,2901 Los Feliz Blvd,,Los Angeles,CA,90039,1502,LOS ANGELES,Super Store,34.126476,-118.26289,,,76035
-118.33176,33.807537,923464,Costco Wholesale 1202,2640 Lomita Blvd,,Torrance,CA,90505,5214,LOS ANGELES,Super Store,33.807537,-118.33176,,,76043
-118.10367,33.919209,923478,Costco Wholesale 0410,12324 Hoxie Ave,,Norwalk,CA,90650,2211,LOS ANGELES,Super Store,33.919209,-118.10367,,,76057
-117.92556,34.133533,923480,Costco Wholesale 0412,1220 W Foothill Blvd,,Azusa,CA,91702,2819,LOS ANGELES,Super Store,34.133533,-117.92556,,,76059
-118.16487,33.804333,923486,Costco Wholesale 0424,2200 E Willow St,,Signal Hill,CA,90755,2132,LOS ANGELES,Super Store,33.804333,-118.16487,,,76065
-118.1487,34.087879,923487,Costco Wholesale 0428,2207 W Commonwealth Ave,,Alhambra,CA,91803,1302,LOS ANGELES,Super Store,34.087879,-118.1487,,,76066
