,tract,census tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length,Total Woman 15-50,Women with births 12 Months,Total Population,Birth Rate,Fertility Rate,Low Birth Weight,Low Birth Weight Pctl,Average income,Grocery Store Access,Grocery Store Access Percent
0,6037206301,06037206301,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2483,1467235.076,4941.872097,174,22,2074,0.0106075217,0.1264367816,0,0,11153,0,0
0,6037206302,06037206302,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2484,483653.2412,3603.263688,597,65,1375,0.04727272727,0.1088777219,0,0,7193,0,0
0,6037206303,06037206303,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2485,4692073.156,10612.52856,466,0,2858,0,0,0,0,4918,0,0
0,6037207101,06037207101,District 1,Los Angeles - Chinatown,SPA 4 - Metro,2486,3165333.106,7693.962372,1227,131,3233,0.0405196412,0.1067644662,2.62,5.49,51544,0,0
0,6037207102,06037207102,District 1,Los Angeles - Chinatown,SPA 4 - Metro,2487,4502100.257,9892.578697,839,20,3374,0.005927682276,0.02383790226,7.46,93.56,30564,0,0
0,6037207103,06037207103,District 1,Los Angeles - Chinatown,SPA 4 - Metro,2488,3388155.936,9522.763573,506,0,2099,0,0,6.19,78.86,33487,0,0
0,6037207303,06037207303,District 1,Los Angeles - Downtown,SPA 4 - Metro,2489,1888040.552,5575.259069,599,0,2311,0,0,0,0,39113,0,0
0,6037207304,06037207304,District 1,Los Angeles - Downtown,SPA 4 - Metro,2490,541446.2529,3459.976863,413,0,2124,0,0,0,0,11430,0,0
0,6037207305,06037207305,District 1,Los Angeles - Downtown,SPA 4 - Metro,2491,2182714.78,8262.43864,246,0,1181,0,0,0,0,72330,0,0
0,6037207306,06037207306,District 1,Los Angeles - Downtown,SPA 4 - Metro,2492,1736073.656,5646.000822,667,0,2227,0,0,0,0,38305,0,0
0,6037207307,06037207307,District 1,Los Angeles - Downtown,SPA 4 - Metro,2493,527160.0469,2910.616691,400,0,1160,0,0,0,0,12283,0,0
0,6037207308,06037207308,District 1,Los Angeles - Downtown,SPA 4 - Metro,2494,492573.751,2815.257443,547,0,1407,0,0,0,0,93226,0,0
0,6037207400,06037207400,District 1,Los Angeles - Downtown,SPA 4 - Metro,2495,9422939.104,15058.8006,559,0,2002,0,0,,,93036,0,0
