Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"06037900104","Census Tract 9001.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9001.04",,,,1986,1754,1547,207,0,0,0,14,13,205
"06037900301","Census Tract 9003.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9003.01",,,,1495,850,705,145,0,0,0,189,86,370
"06037900501","Census Tract 9005.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.01",,,,3150,2856,2557,299,20,0,0,41,0,233
"06037900504","Census Tract 9005.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.04",,,,2789,2560,2075,485,63,0,0,10,0,156
"06037900505","Census Tract 9005.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.05",,,,1635,1449,1302,147,67,0,0,36,0,83
"06037900506","Census Tract 9005.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.06",,,,1954,1849,1571,278,8,0,0,1,10,86
"06037900508","Census Tract 9005.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.08",,,,1435,1283,1166,117,41,0,0,0,0,111
"06037900509","Census Tract 9005.09, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.09",,,,1643,1573,1496,77,11,0,0,0,0,59
"06037900510","Census Tract 9005.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9005.10",,,,1138,1079,965,114,36,0,0,0,0,23
"06037900602","Census Tract 9006.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.02",,,,1827,1584,1460,124,135,0,15,14,0,79
"06037900606","Census Tract 9006.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.06",,,,1338,1065,882,183,18,0,30,0,0,225
"06037900607","Census Tract 9006.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.07",,,,1453,1239,968,271,97,11,0,0,0,106
"06037900608","Census Tract 9006.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.08",,,,1294,1054,1003,51,0,0,0,0,35,205
"06037900609","Census Tract 9006.09, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.09",,,,1811,1481,1319,162,68,0,0,20,16,226
"06037900610","Census Tract 9006.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.10",,,,753,734,673,61,0,0,0,0,0,19
"06037900611","Census Tract 9006.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9006.11",,,,1907,1772,1510,262,69,27,0,0,0,39
"06037900701","Census Tract 9007.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9007.01",,,,1397,1211,1022,189,23,0,0,4,0,159
"06037900703","Census Tract 9007.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9007.03",,,,2063,1781,1452,329,28,0,0,8,56,190
"06037900704","Census Tract 9007.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9007.04",,,,1690,1502,1399,103,30,0,0,66,13,79
"06037900705","Census Tract 9007.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9007.05",,,,1739,1465,1427,38,0,0,0,109,18,147
"06037900804","Census Tract 9008.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9008.04",,,,1227,1073,947,126,18,4,0,14,0,118
"06037900805","Census Tract 9008.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9008.05",,,,1841,1625,1325,300,68,0,0,8,23,117
"06037900806","Census Tract 9008.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9008.06",,,,1331,1125,1037,88,8,0,0,51,42,105
"06037900807","Census Tract 9008.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9008.07",,,,1599,1319,1031,288,27,0,40,0,35,178
"06037900808","Census Tract 9008.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9008.08",,,,1953,1742,1081,661,5,0,0,0,0,206
"06037900901","Census Tract 9009.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9009.01",,,,1036,922,772,150,0,0,0,67,39,8
"06037900902","Census Tract 9009.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"900902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9009.02",,,,575,523,460,63,0,0,0,17,0,35
"06037901003","Census Tract 9010.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.03",,,,0,0,0,0,0,0,0,0,0,0
"06037901007","Census Tract 9010.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.07",,,,837,721,671,50,0,0,0,25,5,86
"06037901008","Census Tract 9010.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.08",,,,1413,1292,1163,129,16,15,4,0,14,72
"06037901009","Census Tract 9010.09, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.09",,,,2282,1863,1586,277,68,0,12,55,54,230
"06037901010","Census Tract 9010.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.10",,,,2279,1980,1685,295,26,0,9,0,0,264
"06037901011","Census Tract 9010.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.11",,,,2225,1870,1699,171,8,0,0,16,36,295
"06037901012","Census Tract 9010.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.12",,,,2891,2664,2587,77,9,0,31,0,0,187
"06037901013","Census Tract 9010.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.13",,,,1568,1405,1178,227,0,31,0,0,0,132
"06037901014","Census Tract 9010.14, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9010.14",,,,2467,2102,2008,94,25,0,0,0,97,243
"06037901101","Census Tract 9011.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9011.01",,,,2021,1752,1557,195,0,0,7,0,15,247
"06037901102","Census Tract 9011.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9011.02",,,,2307,1997,1901,96,83,49,0,0,0,178
"06037901209","Census Tract 9012.09, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.09",,,,442,372,322,50,15,0,0,3,2,50
"06037901210","Census Tract 9012.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.10",,,,796,700,670,30,0,0,0,0,0,96
"06037901214","Census Tract 9012.14, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.14",,,,2373,2112,1780,332,10,0,0,0,0,251
"06037901215","Census Tract 9012.15, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.15",,,,1343,1205,1149,56,11,0,0,0,27,100
"06037901216","Census Tract 9012.16, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.16",,,,1184,984,941,43,0,29,0,0,0,171
"06037901217","Census Tract 9012.17, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.17",,,,535,466,460,6,0,0,0,0,0,69
"06037901218","Census Tract 9012.18, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9012.18",,,,1115,1015,919,96,0,0,0,7,0,93
"06037901300","Census Tract 9013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"901300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9013",,,,570,503,466,37,0,0,0,0,0,67
"06037910002","Census Tract 9100.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9100.02",,,,2710,2582,2521,61,0,0,0,21,0,107
"06037910210","Census Tract 9102.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.10",,,,3423,2949,2515,434,14,0,0,0,61,399
"06037910211","Census Tract 9102.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.11",,,,768,681,597,84,5,0,9,0,4,69
"06037910212","Census Tract 9102.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.12",,,,1375,1233,1141,92,0,0,17,14,0,111
"06037910213","Census Tract 9102.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.13",,,,724,644,526,118,9,0,0,0,0,71
"06037910214","Census Tract 9102.14, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.14",,,,2648,2381,2128,253,55,0,0,3,0,209
"06037910215","Census Tract 9102.15, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.15",,,,3257,2850,2527,323,15,8,0,0,7,377
"06037910216","Census Tract 9102.16, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.16",,,,2306,1876,1690,186,6,0,0,0,205,219
"06037910217","Census Tract 9102.17, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.17",,,,2045,1716,1498,218,0,0,0,0,12,317
"06037910218","Census Tract 9102.18, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9102.18",,,,1787,1487,1324,163,48,0,0,0,52,200
"06037910301","Census Tract 9103.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"910301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9103.01",,,,1941,1731,1200,531,66,0,0,0,0,144
